issues_count,issues,PR Number,pr_html_url,Owner,Repo,Agent,pr_info.base_sha,pr_info.merged_sha
2,"[{'key': 'AZtj-dsC09E0Inapep41', 'rule': 'python:S930', 'severity': 'BLOCKER', 'component': 'PR_AGI-Alpha-Agent-v0_2494:alpha_factory_v1/demos/omni_factory_demo/phylo_tree_smart_city.py', 'project': 'PR_AGI-Alpha-Agent-v0_2494', 'line': 238, 'hash': 'e1294b50d62bb281a87d16141067f379', 'textRange': {'startLine': 238, 'endLine': 238, 'startOffset': 35, 'endOffset': 56}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_2494:alpha_factory_v1/demos/omni_factory_demo/phylo_tree_smart_city.py', 'textRange': {'startLine': 238, 'endLine': 238, 'startOffset': 35, 'endOffset': 56}, 'msg': ""Remove this unexpected named argument 'convert_to_numpy'.""}, {'component': 'PR_AGI-Alpha-Agent-v0_2494:tests/resources/sentence_transformers.py', 'textRange': {'startLine': 5, 'endLine': 5, 'startOffset': 8, 'endOffset': 14}, 'msg': 'Function definition.'}]}], 'status': 'OPEN', 'message': ""Remove this unexpected named argument 'convert_to_numpy'."", 'effort': '10min', 'debt': '10min', 'author': 'noreply@github.com', 'tags': ['cwe'], 'creationDate': '2025-12-28T02:01:01-0600', 'updateDate': '2025-12-28T02:01:01-0600', 'type': 'BUG', 'scope': 'MAIN', 'quickFixAvailable': False}, {'key': 'AZtj-dsC09E0Inapep42', 'rule': 'python:S930', 'severity': 'BLOCKER', 'component': 'PR_AGI-Alpha-Agent-v0_2494:alpha_factory_v1/demos/omni_factory_demo/phylo_tree_smart_city.py', 'project': 'PR_AGI-Alpha-Agent-v0_2494', 'line': 238, 'hash': 'e1294b50d62bb281a87d16141067f379', 'textRange': {'startLine': 238, 'endLine': 238, 'startOffset': 58, 'endOffset': 81}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_2494:alpha_factory_v1/demos/omni_factory_demo/phylo_tree_smart_city.py', 'textRange': {'startLine': 238, 'endLine': 238, 'startOffset': 58, 'endOffset': 81}, 'msg': ""Remove this unexpected named argument 'show_progress_bar'.""}, {'component': 'PR_AGI-Alpha-Agent-v0_2494:tests/resources/sentence_transformers.py', 'textRange': {'startLine': 5, 'endLine': 5, 'startOffset': 8, 'endOffset': 14}, 'msg': 'Function definition.'}]}], 'status': 'OPEN', 'message': ""Remove this unexpected named argument 'show_progress_bar'."", 'effort': '10min', 'debt': '10min', 'author': 'noreply@github.com', 'tags': ['cwe'], 'creationDate': '2025-12-28T02:01:01-0600', 'updateDate': '2025-12-28T02:01:01-0600', 'type': 'BUG', 'scope': 'MAIN', 'quickFixAvailable': False}]",2494,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2494,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
3,"[{'key': 'AZtj-kT409E0Inape5uU', 'rule': 'python:S3776', 'severity': 'CRITICAL', 'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'project': 'PR_AGI-Alpha-Agent-v0_1494', 'line': 60, 'hash': '479f031c65db03a6815f486a73802021', 'textRange': {'startLine': 60, 'endLine': 60, 'startOffset': 4, 'endOffset': 15}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 61, 'endLine': 61, 'startOffset': 4, 'endOffset': 7}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 63, 'endLine': 63, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 69, 'endLine': 69, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 73, 'endLine': 73, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 74, 'endLine': 74, 'startOffset': 8, 'endOffset': 11}, 'msg': '+2 (incl 1 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 75, 'endLine': 75, 'startOffset': 12, 'endOffset': 14}, 'msg': '+3 (incl 2 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 82, 'endLine': 82, 'startOffset': 4, 'endOffset': 6}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 84, 'endLine': 84, 'startOffset': 8, 'endOffset': 11}, 'msg': '+2 (incl 1 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 87, 'endLine': 87, 'startOffset': 4, 'endOffset': 7}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 89, 'endLine': 89, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 92, 'endLine': 92, 'startOffset': 12, 'endOffset': 15}, 'msg': '+3 (incl 2 for nesting)'}]}], 'status': 'OPEN', 'message': 'Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.', 'effort': '9min', 'debt': '9min', 'author': 'info@montreal.ai', 'tags': ['brain-overload'], 'creationDate': '2025-12-28T02:01:31-0600', 'updateDate': '2025-12-28T02:01:31-0600', 'type': 'CODE_SMELL', 'scope': 'MAIN', 'quickFixAvailable': False}, {'key': 'AZtj-kT409E0Inape5uT', 'rule': 'python:S1192', 'severity': 'CRITICAL', 'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'project': 'PR_AGI-Alpha-Agent-v0_1494', 'line': 119, 'hash': '1545bdc84ca257d4527652434a099d21', 'textRange': {'startLine': 119, 'endLine': 119, 'startOffset': 24, 'endOffset': 43}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 184, 'endLine': 184, 'startOffset': 14, 'endOffset': 33}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 185, 'endLine': 185, 'startOffset': 26, 'endOffset': 45}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 187, 'endLine': 187, 'startOffset': 24, 'endOffset': 43}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 188, 'endLine': 188, 'startOffset': 30, 'endOffset': 49}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 230, 'endLine': 230, 'startOffset': 31, 'endOffset': 50}, 'msg': 'Duplication'}]}], 'status': 'OPEN', 'message': 'Define a constant instead of duplicating this literal ""bundle.esm.min.js"" 6 times.', 'effort': '12min', 'debt': '12min', 'author': 'info@montreal.ai', 'tags': ['design'], 'creationDate': '2025-12-28T02:01:31-0600', 'updateDate': '2025-12-28T02:01:31-0600', 'type': 'CODE_SMELL', 'scope': 'MAIN', 'quickFixAvailable': False}, {'key': 'AZtj-kT409E0Inape5uS', 'rule': 'python:S1192', 'severity': 'CRITICAL', 'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'project': 'PR_AGI-Alpha-Agent-v0_1494', 'line': 202, 'hash': '1cf70e7b7fbf54ac9997f192301a02a3', 'textRange': {'startLine': 202, 'endLine': 202, 'startOffset': 12, 'endOffset': 31}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 203, 'endLine': 203, 'startOffset': 27, 'endOffset': 46}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 229, 'endLine': 229, 'startOffset': 28, 'endOffset': 47}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py', 'textRange': {'startLine': 285, 'endLine': 285, 'startOffset': 27, 'endOffset': 46}, 'msg': 'Duplication'}]}], 'status': 'OPEN', 'message': 'Define a constant instead of duplicating this literal ""insight.bundle.js"" 4 times.', 'effort': '8min', 'debt': '8min', 'author': 'info@montreal.ai', 'tags': ['design'], 'creationDate': '2025-12-28T02:01:31-0600', 'updateDate': '2025-12-28T02:01:31-0600', 'type': 'CODE_SMELL', 'scope': 'MAIN', 'quickFixAvailable': False}]",1494,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1494,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
3,"[{'key': 'AZtj-rOp09E0InapfINv', 'rule': 'python:S1192', 'severity': 'CRITICAL', 'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'project': 'PR_AGI-Alpha-Agent-v0_1555', 'line': 24, 'hash': '16e2b304d89136e050f85a2b4645f4b4', 'textRange': {'startLine': 24, 'endLine': 24, 'startOffset': 4, 'endOffset': 27}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 30, 'endLine': 30, 'startOffset': 4, 'endOffset': 27}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 72, 'endLine': 72, 'startOffset': 12, 'endOffset': 35}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 85, 'endLine': 85, 'startOffset': 22, 'endOffset': 45}, 'msg': 'Duplication'}]}], 'status': 'OPEN', 'message': 'Define a constant instead of duplicating this literal ""lib/bundle.esm.min.js"" 4 times.', 'effort': '8min', 'debt': '8min', 'author': 'info@montreal.ai', 'tags': ['design'], 'creationDate': '2025-12-28T02:01:58-0600', 'updateDate': '2025-12-28T02:01:58-0600', 'type': 'CODE_SMELL', 'scope': 'MAIN', 'quickFixAvailable': False}, {'key': 'AZtj-rOp09E0InapfINw', 'rule': 'python:S1192', 'severity': 'CRITICAL', 'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'project': 'PR_AGI-Alpha-Agent-v0_1555', 'line': 26, 'hash': '804a425145f132f28a60136966b0d1b4', 'textRange': {'startLine': 26, 'endLine': 26, 'startOffset': 4, 'endOffset': 23}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 31, 'endLine': 31, 'startOffset': 4, 'endOffset': 23}, 'msg': 'Duplication'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 73, 'endLine': 73, 'startOffset': 12, 'endOffset': 31}, 'msg': 'Duplication'}]}], 'status': 'OPEN', 'message': 'Define a constant instead of duplicating this literal ""lib/workbox-sw.js"" 3 times.', 'effort': '6min', 'debt': '6min', 'author': 'info@montreal.ai', 'tags': ['design'], 'creationDate': '2025-12-28T02:01:58-0600', 'updateDate': '2025-12-28T02:01:58-0600', 'type': 'CODE_SMELL', 'scope': 'MAIN', 'quickFixAvailable': False}, {'key': 'AZtj-rOp09E0InapfINx', 'rule': 'python:S3776', 'severity': 'CRITICAL', 'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'project': 'PR_AGI-Alpha-Agent-v0_1555', 'line': 66, 'hash': '0987b568f974b4b87d2c013678467c7b', 'textRange': {'startLine': 66, 'endLine': 66, 'startOffset': 4, 'endOffset': 8}, 'flows': [{'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 69, 'endLine': 69, 'startOffset': 4, 'endOffset': 7}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 76, 'endLine': 76, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 76, 'endLine': 76, 'startOffset': 25, 'endOffset': 28}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 79, 'endLine': 79, 'startOffset': 8, 'endOffset': 10}, 'msg': '+2 (incl 1 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 79, 'endLine': 79, 'startOffset': 29, 'endOffset': 31}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 80, 'endLine': 80, 'startOffset': 12, 'endOffset': 14}, 'msg': '+3 (incl 2 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 82, 'endLine': 82, 'startOffset': 12, 'endOffset': 16}, 'msg': '+1'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 85, 'endLine': 85, 'startOffset': 12, 'endOffset': 14}, 'msg': '+3 (incl 2 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 89, 'endLine': 89, 'startOffset': 12, 'endOffset': 18}, 'msg': '+3 (incl 2 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 91, 'endLine': 91, 'startOffset': 16, 'endOffset': 18}, 'msg': '+4 (incl 3 for nesting)'}]}, {'locations': [{'component': 'PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py', 'textRange': {'startLine': 93, 'endLine': 93, 'startOffset': 8, 'endOffset': 12}, 'msg': '+1'}]}], 'status': 'OPEN', 'message': 'Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.', 'effort': '12min', 'debt': '12min', 'author': 'info@montreal.ai', 'tags': ['brain-overload'], 'creationDate': '2025-12-28T02:01:58-0600', 'updateDate': '2025-12-28T02:01:58-0600', 'type': 'CODE_SMELL', 'scope': 'MAIN', 'quickFixAvailable': False}]",1555,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1555,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],119,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/119,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],467,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/467,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],8,https://github.com/lwyBZss8924d/DeepSearchAgents/pull/8,lwyBZss8924d,DeepSearchAgents,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],1572,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1572,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],3143,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3143,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],16,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/16,MontrealAI,AGI-Alpha-Agent-v0,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
0,[],34,https://github.com/bmander/graphserver/pull/34,bmander,graphserver,OpenAI_Codex,c978625cb0e675642dc09ebdd1fe3e059733d283,95c696cb35e4b5bfcd8635f143d911b28327392e
